Reporting - Report PO | PIM;;;;;;;;;;;;;;;
Purchase Order No;Supplier Name;Order Date;Delivery Date;Item ID;Item Name;Item Description;Quantity Ordered;Quantity Delivered;Unit Price;Total Cost;Delivery Status;Defect Rate;Category Barang;Approval Time;Procurment Lead Time
0003/PO/CD/III/2023/CIC/AIMP;Alvin Azizi - Tangerang;02-03-2023;10-03-2023;31388;SPANDUK;"Spanduk sablon, bahan: polyester, materi: Permai, Uk. 115x800cm";"300,00";"300,00";68000;"20.400.000,00";Finish;0%;MEDIA INFORMASI;0 Hari;8 Hari
0004/PO/CD/I/2023/CIC/CI;Bina Jaya Computer - Jakarta;05-01-2023;07-01-2023;30726;ETHERNET CARD;USB 3.0 BAFO ETthernet Gigabit 1000 mbps;"1,00";"1,00";275000;"275.000,00";Finish;0%;KOMPUTER;1 Hari;2 Hari
0004/PO/CD/I/2023/CIC/CI;Bina Jaya Computer - Jakarta;05-01-2023;07-01-2023;30702;POWER SUPPLY;Intel 450 watt 80+ bronze;"1,00";"1,00";490000;"490.000,00";Finish;0%;KOMPUTER;1 Hari;2 Hari
0004/PO/CD/I/2023/CIC/CI;Bina Jaya Computer - Jakarta;05-01-2023;07-01-2023;30752;USB WIRELESS;USB Tplink N150 mbps wireless;"1,00";"1,00";175000;"175.000,00";Finish;0%;KOMPUTER;1 Hari;2 Hari
0004/PO/CD/I/2023/CIC/CIE;Dodi Kohanta - Jonggol;16-01-2023;20-01-2023;31054;BATU MACADAM / MAKADAM;batu split;"14,00";"14,00";300000;"4.200.000,00";Finish;0%;MATERIAL KONSTRUKSI;4 Hari;4 Hari
0004/PO/CD/I/2023/CIC/MKES;ADE ABDILLAH - BOGOR;12-01-2023;01-02-2023;30970;STANG ORNAMEN PJU;"Material: pipa galvanis 1 1/4, tebal 2mm, di cat silver";"41,00";"41,00";300000;"12.300.000,00";Finish;0%;LISTRIK;6 Hari;20 Hari
0004/PO/CD/II/2023/CIC/MKESE;TOKO GS;21-02-2023;;31871;JET WASHER / SHOWER SPRAY;Jet shower;"4,00";;115000;"460.000,00";Dalam Proses;0%;SANITAIR DAN KAMAR MANDI;11 Hari;
0004/PO/CD/II/2023/CIC/MKESE;TOKO GS;21-02-2023;;31873;KRAN / KERAN AIR;Kran air Onda;"2,00";;85000;"170.000,00";Dalam Proses;0%;SANITAIR DAN KAMAR MANDI;11 Hari;
0004/PO/CD/II/2023/CIC/MKESE;TOKO GS;21-02-2023;;31035;LEM SEALANT;"Dowsill Glass, kemasan 300ml";"2,00";;60000;"120.000,00";Dalam Proses;0%;MATERIAL KONSTRUKSI;11 Hari;
0004/PO/CD/III/2023/CIC/AIMP;PT. PLATBOARD LUTDESINDO;02-03-2023;03-04-2023;31365;BANNER;"Bahan: Flexi, Uk. 60x290cm, materi: Bukit Permai";"1,00";"1,00";39150;"39.150,00";Finish;0%;MEDIA INFORMASI;1 Hari;32 Hari
0004/PO/CD/III/2023/CIC/AIMP;PT. PLATBOARD LUTDESINDO;02-03-2023;03-04-2023;31365;BANNER;"Bahan: Flexi, Uk. 90x396cm, materi: Bukit Permai";"10,00";"10,00";80190;"801.900,00";Finish;0%;MEDIA INFORMASI;1 Hari;32 Hari
0005/PO/CD/I/2023/CIC/CI;TOKO GS;05-01-2023;20-01-2023;31791;TALI TAMBANG;TALI TAMBANG SPANDUK;"2,00";"2,00";60000;"120.000,00";Finish;0%;RUPA - RUPA;0 Hari;15 Hari
0005/PO/CD/I/2023/CIC/MKES;Toko Pasific Elektronik -  Jonggol;17-01-2023;28-01-2023;31473;PENGHISAP UDARA - COOKER HOOD;"Tpe PX-6001, metal w/ black acrylic, 3 Speed Levels, bulb Lamp, airflow : 400 m3/h (14126 Ft3/h)";"1,00";"1,00";1000000;"1.000.000,00";Finish;0%;PENGOLAH UDARA - PENDINGIN;1 Hari;11 Hari
0005/PO/CD/II/2023/CIC/CIE;CV. Andora Ropitama - Jakarta;09-02-2023;01-03-2023;30956;CHIP LED;"30 watt, warna putih";"50,00";"50,00";50000;"2.500.000,00";Finish;0%;LISTRIK;2 Hari;20 Hari
0005/PO/CD/II/2023/CIC/CIE;CV. Andora Ropitama - Jakarta;09-02-2023;01-03-2023;30922;DRIVER LAMPU LED;"30 watt, 900 MA";"50,00";"50,00";55000;"2.750.000,00";Finish;0%;LISTRIK;2 Hari;20 Hari
0005/PO/CD/III/2023/CIC/AIMP;TOKO GS;20-03-2023;30-03-2023;31067;FITTING LAMPU;Fitting lampu;"2,00";"2,00";6000;"12.000,00";Finish;0%;MATERIAL KONSTRUKSI;0 Hari;10 Hari
0005/PO/CD/III/2023/CIC/AIMP;TOKO GS;20-03-2023;30-03-2023;31638;GERGAJI;-;"1,00";"1,00";15000;"15.000,00";Finish;0%;PERALATAN KERJA LAPANGAN;0 Hari;10 Hari
0005/PO/CD/III/2023/CIC/AIMP;TOKO GS;20-03-2023;30-03-2023;31643;GUNTING;-;"1,00";"1,00";75000;"75.000,00";Finish;0%;PERALATAN KERJA LAPANGAN;0 Hari;10 Hari
0005/PO/CD/III/2023/CIC/AIMP;TOKO GS;20-03-2023;30-03-2023;30661;KABEL TWISTED;2x10 mm;"50,00";"50,00";6500;"325.000,00";Finish;0%;KOMPUTER;0 Hari;10 Hari
0005/PO/CD/III/2023/CIC/AIMP;TOKO GS;20-03-2023;30-03-2023;31122;KAWAT BENDRAT;kawat bendrat;.25;.25;20000;"5.000,00";Finish;0%;MATERIAL KONSTRUKSI;0 Hari;10 Hari
0005/PO/CD/III/2023/CIC/AIMP;TOKO GS;20-03-2023;30-03-2023;30963;LAMPU PJU;22 Watt;"1,00";"1,00";75000;"75.000,00";Finish;0%;LISTRIK;0 Hari;10 Hari
0005/PO/CD/III/2023/CIC/AIMP;TOKO GS;20-03-2023;30-03-2023;30963;LAMPU PJU;15 Watt;"1,00";"1,00";50000;"50.000,00";Finish;0%;LISTRIK;0 Hari;10 Hari
