Purchase Order No,Supplier Name,Order Date,Delivery Date,Item Name,Item Description,Quantity Ordered,Quantity Delivered,Unit Price,Total Cost,Delivery Status,Defect Rate,Category Barang,Approval Time (Hari),Procurment Lead Time (Hari)
0004/PO/CD/II/2024/CIC/MKESE,PT. Kencana Sukses Mandiri - Jakarta,29-02-2024,12/3/2024,POWER SUPPLY,"DC.12 V 50A, 600 watt, GR9",2,2,"830,000.00","1,660,000.00",Finish,0%,LISTRIK,2,12
0005/PO/CD/I/2024/CIC/CI,PT. PLATBOARD LUTDESINDO,4/1/2024,6/3/2024,BILLBOARD,"Bahan flexi, materi: liburan natal & tahun baru, uk. 9x7 meter, lokasi: pom bensin CIC",1,1,"1,917,500.00","1,917,500.00",Finish,0%,MEDIA INFORMASI,4,62
0005/PO/CD/I/2024/CIC/MKES,Ace Hardware - Cibubur,29-01-2024,28-02-2024,TEMPAT SAMPAH,"Kapasitas 120 Liter, Material :plastik, Dilengkapi roda & tutup",32,32,"479,900.00","15,356,800.00",Finish,0%,KEBERSIHAN,4,30
0005/PO/CD/III/2024/CIC/MKESE,GLOBAL JO STORE - TOKOPEDIA (DEPOK),19-03-2024,,PALU,"Material : Carbon Steel Zinc Coated, PP Handled red, Chain Stee 30 cm, Hammer 18 cm",6,,"120,000.00",0,Dalam Proses,0%,PERALATAN KERJA LAPANGAN,1,
0006/PO/CD/I/2024/CIC/CI,Alvin Azizi - Tangerang,4/1/2024,29-01-2024,SPANDUK,"Bahan polyester, sablon, Uk. 1,15x8 meter, materi: ""rumah dengan fasilitas terlengkap""",100,100,"68,000.00","6,800,000.00",Finish,0%,MEDIA INFORMASI,4,25
0006/PO/CD/I/2024/CIC/CIE,ALFAUZICOLLECTION - TOKOPEDIA,11/1/2024,,MUKENA,"Mukena jumbo, bahan zara super premium, atasan dan bawahan, Panjang depan/belakang atasan 127cm/ 141cm, Panjang rok/lingkar 122cm/ 73cm",3,,"248,850.00",0,Dalam Proses,0%,FASHION,1,
0006/PO/CD/II/2024/CIC/AIMP,Big Thumb - Jakarta,24-02-2024,,BROSUR,"Cover - dimensi tertutup 30,5x23cm, AC 230gsm, laminating doft 1/0, die cut, 4 hal. Content - dimensi tertutup 30,5x23xm, art paper 150gsm, 16 hal.",2000,,"9,500.00",0,Dalam Proses,0%,MEDIA INFORMASI,2,
0006/PO/CD/II/2024/CIC/MKES,Toko Pasific Elektronik -  Jonggol,6/2/2024,1/3/2024,AC SPLIT WALL,"AC 1/2PK, Tipe KR5AHQ",1,1,"2,300,000.00","2,300,000.00",Finish,0%,PENGOLAH UDARA - PENDINGIN,5,24
0006/PO/CD/III/2024/CIC/MKESE,TOKO GS,20-03-2024,,KRAN / KERAN AIR,"Kran Wastafel, 1/2 inch",3,,"160,000.00",0,Dalam Proses,0%,SANITAIR DAN KAMAR MANDI,1,
0007/PO/CD/I/2024/CIC/CI,CV. Harapan Mandiri -Bogor,11/1/2024,15-02-2024,TEMPAT SAMPAH,"Warna hijau, tiang tanam, kapasitas 40liter",11,11,"340,000.00","3,740,000.00",Finish,0%,KEBERSIHAN,0,35
